target_id,t_sim,x,y,z
CUBE_1,0.169,0.000000,0.000000,-0.002509
CUBE_2,0.172,-3.725736,0.292797,-204.446518
CUBE_1,0.434,0.000000,0.000000,-0.100039
CUBE_2,0.436,-3.725736,0.292797,-204.530487
CUBE_1,0.652,0.000000,0.000000,-0.285933
CUBE_2,0.655,-3.725736,0.292797,-204.706558
CUBE_1,0.934,0.000000,0.000000,-0.666241
CUBE_2,1.092,-3.725736,0.292797,-205.343155
CUBE_1,1.364,0.000000,0.000000,-1.492672
CUBE_2,1.373,-3.725736,0.292797,-205.901642
CUBE_1,1.590,0.000000,0.000000,-1.944638
CUBE_2,1.591,-3.725736,0.292797,-206.339005
CUBE_1,1.811,0.000000,0.000000,-2.387404
CUBE_2,1.814,-3.725736,0.292797,-206.784592
CUBE_1,2.026,0.000000,0.000000,-2.817280
CUBE_2,2.028,-3.725736,0.292797,-207.211853
CUBE_1,2.250,0.000000,0.000000,-3.264245
CUBE_2,2.265,-3.725736,0.292797,-207.685440
CUBE_1,2.517,0.000000,0.000000,-3.798906
CUBE_2,2.520,-3.725736,0.292797,-208.196426
CUBE_1,2.753,0.000000,0.000000,-4.271708
CUBE_2,2.784,-3.725736,0.292797,-208.725098
CUBE_1,3.012,0.000000,0.000000,-4.788956
CUBE_2,3.052,-3.725736,0.292797,-209.259506
CUBE_1,3.325,0.000000,0.000000,-5.414517
CUBE_2,3.326,-3.725736,0.292797,-210.341293
CUBE_1,3.563,0.000000,0.000000,-5.891313
CUBE_2,3.582,-3.725736,0.292797,-211.876221
CUBE_1,3.805,0.000000,0.000000,-6.374644
CUBE_2,3.825,-3.725736,0.292797,-213.334946
CUBE_1,4.035,0.000000,0.000000,-6.835963
CUBE_2,4.038,-3.725736,0.292797,-214.613113
CUBE_1,4.344,0.000000,0.000000,-7.452057
CUBE_2,4.362,-3.725736,0.292797,-216.556717
CUBE_1,4.580,0.000000,0.000000,-7.924141
CUBE_2,4.581,-3.725736,0.292797,-217.870316
CUBE_1,4.880,0.000000,0.000000,-8.525362
CUBE_2,4.888,-3.725736,0.292797,-219.710083
CUBE_1,5.210,0.000000,0.000000,-9.184543
CUBE_2,5.213,-3.725736,0.292797,-221.664368
CUBE_1,5.424,0.000000,0.000000,-9.613628
CUBE_2,5.430,-3.725736,0.292797,-222.961655
CUBE_1,5.646,0.000000,0.000000,-10.056890
CUBE_2,5.648,-3.725736,0.292797,-224.270828
CUBE_1,5.879,0.000000,0.000000,-10.523568
CUBE_2,5.886,-3.725736,0.292797,-225.702347
CUBE_1,6.133,0.000000,0.000000,-11.030613
CUBE_2,6.136,-3.725736,0.292797,-227.201553
CUBE_3,9.194,17.237448,1.751060,-124.718506
CUBE_1,9.197,0.000000,0.000000,-17.152212
CUBE_3,9.650,17.237448,1.751060,-125.109955
CUBE_1,9.655,0.000000,0.000000,-18.067272
CUBE_3,10.041,17.237448,1.751060,-125.856796
CUBE_1,10.077,0.000000,0.000000,-18.912487
CUBE_3,10.406,17.237448,1.751060,-126.585617
CUBE_1,10.408,0.000000,0.000000,-19.573112
CUBE_3,10.621,17.237448,1.751060,-127.016495
CUBE_1,10.623,0.000000,0.000000,-20.004452
CUBE_3,10.840,17.237448,1.751060,-127.452789
CUBE_1,10.842,0.000000,0.000000,-21.047014
CUBE_3,11.075,17.237448,1.751060,-127.922806
CUBE_1,11.079,0.000000,0.000000,-22.467054
CUBE_3,11.285,17.237448,1.751060,-128.342606
CUBE_1,11.287,0.000000,0.000000,-23.717896
CUBE_3,11.587,17.237448,1.751060,-128.946518
CUBE_1,11.589,0.000000,0.000000,-25.528877
CUBE_3,11.827,17.237448,1.751060,-129.426834
CUBE_1,11.829,0.000000,0.000000,-26.969980
CUBE_3,12.062,17.237448,1.751060,-129.896347
CUBE_1,12.066,0.000000,0.000000,-28.389935
CUBE_3,12.300,17.237448,1.751060,-130.373077
CUBE_1,12.304,0.000000,0.000000,-29.819990
CUBE_3,12.551,17.237448,1.751060,-130.875122
CUBE_1,12.557,0.000000,0.000000,-31.335840
CUBE_3,12.851,17.237448,1.751060,-131.474777
CUBE_1,12.855,0.000000,0.000000,-33.123222
CUBE_3,13.072,17.237448,1.751060,-131.916306
CUBE_1,13.075,0.000000,0.000000,-34.447990
CUBE_3,13.288,17.237448,1.751060,-132.349197
CUBE_1,13.290,0.000000,0.000000,-35.736935
CUBE_3,13.514,17.237448,1.751060,-132.799622
CUBE_1,13.515,0.000000,0.000000,-37.087872
CUBE_3,13.740,17.237448,1.751060,-133.252670
CUBE_1,13.744,0.000000,0.000000,-38.458439
CUBE_3,13.970,17.237448,1.751060,-133.712433
CUBE_1,13.979,0.000000,0.000000,-39.869019
CUBE_3,14.362,17.237448,1.751060,-134.496170
CUBE_1,14.364,0.000000,0.000000,-42.181671
CUBE_3,14.603,17.237448,1.751060,-134.978134
CUBE_1,14.605,0.000000,0.000000,-43.625641
CUBE_3,14.844,17.237448,1.751060,-135.460220
CUBE_1,14.851,0.000000,0.000000,-45.099644
CUBE_3,15.069,17.237448,1.751060,-135.911270
CUBE_1,15.071,0.000000,0.000000,-46.424095
CUBE_3,15.301,17.237448,1.751060,-136.374374
CUBE_1,15.310,-0.801809,0.000000,-47.061375
CUBE_3,15.546,17.237448,1.751060,-136.865387
CUBE_1,15.554,-2.266175,0.000000,-47.071819
CUBE_3,15.766,17.237448,1.751060,-137.304962
CUBE_1,15.770,-3.559425,0.000000,-47.081009
CUBE_3,15.989,17.237448,1.751060,-137.749954
CUBE_1,15.991,-4.883425,0.000000,-47.090435
CUBE_3,16.203,17.237448,1.751060,-138.177994
CUBE_1,16.205,-6.168095,0.000000,-47.099564
CUBE_3,16.441,17.237448,1.751060,-138.654709
CUBE_1,16.443,-7.600252,0.000000,-47.102791
CUBE_3,16.663,17.237448,1.751060,-139.098938
CUBE_1,16.667,-8.941643,0.000000,-47.102791
CUBE_3,16.877,17.237448,1.751060,-139.526489
CUBE_1,16.879,-10.213091,0.000000,-47.102791
CUBE_3,17.104,17.237448,1.751060,-139.980179
CUBE_1,17.106,-11.575624,0.000000,-47.102810
CUBE_3,17.324,17.237448,1.751060,-140.420013
CUBE_1,17.327,-12.904288,0.000000,-47.103043
CUBE_3,17.539,17.237448,1.751060,-140.849945
CUBE_1,17.541,-14.184504,0.000000,-47.103111
CUBE_3,17.767,17.237448,1.751060,-141.306488
CUBE_1,17.769,-15.552491,0.000000,-47.103111
CUBE_3,18.007,17.237448,1.751060,-141.786835
CUBE_1,18.201,-18.148067,0.000000,-47.103111
CUBE_3,18.437,17.237448,1.751060,-142.647400
CUBE_1,18.439,-19.575932,0.000000,-47.103111
CUBE_3,18.675,17.237448,1.751060,-143.122986
CUBE_1,18.677,-21.001965,0.000000,-47.103111
CUBE_3,18.932,17.237448,1.751060,-143.637024
CUBE_1,18.936,-22.555126,0.000000,-47.103111
CUBE_3,19.215,17.237448,1.751060,-145.384109
CUBE_1,19.219,-24.253862,0.000000,-47.103111
CUBE_3,19.452,17.237448,1.751060,-149.147324
CUBE_1,19.454,-25.666275,0.000000,-47.103111
CUBE_3,19.679,17.237448,1.751060,-152.768387
CUBE_1,19.681,-27.023346,0.000000,-47.103111
CUBE_3,19.892,15.721774,1.751060,-154.678482
CUBE_1,19.896,-28.314478,0.000000,-47.103111
CUBE_3,20.135,11.839049,1.751060,-154.704819
CUBE_1,20.137,-29.761101,0.000000,-47.103111
CUBE_3,20.396,7.656493,1.751060,-154.713303
CUBE_1,20.398,-31.329460,0.000000,-47.103111
CUBE_3,20.620,4.078668,1.751060,-154.713409
CUBE_1,20.622,-32.670658,0.000000,-47.103111
CUBE_3,20.839,0.568302,1.751060,-154.713455
CUBE_1,20.843,-34.000027,0.000000,-47.103111
CUBE_3,21.080,-3.284250,1.751060,-154.713455
CUBE_1,21.086,-35.455135,0.000000,-47.103111
CUBE_3,21.318,-7.086165,1.751060,-154.713455
CUBE_1,21.320,-36.857189,0.000000,-47.103111
CUBE_3,21.547,-10.751019,1.751060,-154.713455
CUBE_1,21.549,-38.233555,0.000000,-47.103111
CUBE_3,21.777,-14.430977,1.751060,-154.713455
CUBE_1,21.782,-39.634960,0.000000,-47.103111
CUBE_3,22.059,-18.948286,1.751060,-154.713455
CUBE_1,22.065,-41.329544,0.000000,-47.103111
CUBE_3,22.278,-22.459229,1.751060,-154.713455
CUBE_1,22.280,-42.622166,0.000000,-47.103111
CUBE_3,22.496,-25.934387,1.751060,-154.713455
CUBE_1,22.498,-43.925476,0.000000,-47.103111
CUBE_3,22.813,-31.008896,1.751060,-154.713455
CUBE_1,22.815,-45.828289,0.000000,-47.103111
CUBE_3,23.030,-34.487431,1.751060,-154.713455
CUBE_1,23.032,-47.132805,0.000000,-47.103111
CUBE_3,23.243,-37.890503,1.751060,-154.713455
CUBE_1,23.357,-49.081589,0.000000,-47.103111
CUBE_3,23.568,-43.099331,1.751060,-154.713455
CUBE_1,23.570,-50.362301,0.000000,-47.103111
CUBE_3,23.786,-46.572830,1.751060,-154.713455
CUBE_1,23.788,-51.665569,0.000000,-47.103111
CUBE_3,24.003,-50.048313,1.751060,-154.713455
