target_id,t_sim,x,y,z
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.000,2.144170,0.500000,2.838760
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.000,2.144170,0.500000,2.838760
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.000,2.144170,0.500000,2.838760
CUBE_1,0.000,0.000000,0.000000,0.000000
CUBE_3,0.000,2.144170,0.500000,2.838760
CUBE_2,0.130,2.006224,0.000000,2.264851
CUBE_3,0.135,2.134721,0.497797,2.826250
CUBE_2,0.383,1.670583,0.000000,1.885942
CUBE_3,0.388,1.832288,0.427272,2.425846
CUBE_2,0.595,1.390034,0.000000,1.569226
CUBE_3,0.597,1.582494,0.369023,2.095133
CUBE_2,0.814,1.099415,0.000000,1.241143
CUBE_3,0.816,1.321574,0.308178,1.749691
CUBE_2,1.025,0.819843,0.000000,0.925532
CUBE_3,1.026,1.069987,0.249511,1.416604
CUBE_2,1.235,0.541154,0.000000,0.610916
CUBE_3,1.237,0.818798,0.190936,1.084042
CUBE_2,1.444,0.264132,0.000000,0.298182
CUBE_3,1.446,0.569752,0.132861,0.754320
CUBE_2,1.685,0.165337,0.000000,0.033241
CUBE_3,1.689,0.279068,0.065076,0.369470
CUBE_2,1.897,0.589416,0.000000,0.021824
CUBE_3,1.899,0.028358,0.006613,0.037545
CUBE_2,2.107,1.009546,0.000000,0.010512
CUBE_3,2.109,0.448563,0.004587,0.026043
CUBE_2,2.318,1.430630,0.000000,0.001257
CUBE_3,2.320,0.869336,0.002558,0.014525
CUBE_2,2.528,1.850834,0.000000,0.000871
CUBE_3,2.530,1.289382,0.000533,0.003028
CUBE_2,2.737,2.268686,0.000000,0.000488
CUBE_3,2.739,1.707515,0.000181,0.001028
CUBE_2,2.946,2.687817,0.000000,0.000103
CUBE_3,2.948,2.126468,0.000112,0.000634
CUBE_2,3.155,3.105836,0.000000,0.000034
CUBE_3,3.157,2.544430,0.000042,0.000241
CUBE_2,3.366,3.527797,0.000000,0.000021
CUBE_3,3.368,2.966271,0.000007,0.000040
CUBE_2,3.577,3.948137,0.000000,0.000008
CUBE_3,3.578,3.386675,0.000005,0.000026
