target_id,event,t_host,t_sim,ref_msg_id
CUBE_2,start,1762429368.550,,56b2539f-db86-48bf-af9d-6220546fd63a
CUBE_2,start,1762429431.394,,b4128c8f-ac46-4b98-a75e-4eabb811b2a2
CUBE_1,start,1762429528.913,,cc19a62e-41a0-4950-938f-ab039ac4cd6f
CUBE_2,start,1762429573.667,,a361275b-4b26-49fc-9a7b-98891d41ec94
CUBE_1,start,1762429719.732,,43fb8229-6d74-4a36-8caf-23bd01b15ff0
CUBE_2,start,1762429726.799,,0a34d1aa-7ed8-405c-8224-c65f5a07cbad
CUBE_2,stop,1762429756.067,29.378,0a34d1aa-7ed8-405c-8224-c65f5a07cbad
CUBE_3,start,1762429756.075,,fe0ab63a-55da-4695-8673-373ed4eee3ff
CUBE_3,stop,1762429785.768,59.080,fe0ab63a-55da-4695-8673-373ed4eee3ff
CUBE_2,start,1762429785.771,,a42320de-9092-45e7-beb4-cdf3f4adcff3
CUBE_2,stop,1762429827.934,101.241,a42320de-9092-45e7-beb4-cdf3f4adcff3
CUBE_3,start,1762429827.940,,5d15fb70-9981-4d46-83cd-1c927852cd05
CUBE_3,start,1762430605.122,,e2c385a3-e42a-4a73-9588-bb0936152230
CUBE_2,start,1762430605.174,,8cd21e45-197e-4136-b62b-24975425860d
CUBE_3,start,1762430611.150,,40466216-c623-44a4-9831-087a5850e414
CUBE_1,start,1762430611.156,,08a1088b-a656-4d41-b771-7315c967e6f7
CUBE_1,stop,1762430639.137,27.895,08a1088b-a656-4d41-b771-7315c967e6f7
CUBE_2,start,1762430639.344,,15f4787c-28de-498e-880c-8be8f9a36f9b
CUBE_3,stop,1762430640.691,29.596,40466216-c623-44a4-9831-087a5850e414
CUBE_3,start,1762430640.897,,659d34cc-6207-40f2-85c4-3ad61608d173
CUBE_2,stop,1762430668.788,57.606,15f4787c-28de-498e-880c-8be8f9a36f9b
CUBE_1,start,1762430668.996,,747c94ed-9f36-4963-ae9c-a6a0a35d2896
CUBE_3,stop,1762430682.877,71.668,659d34cc-6207-40f2-85c4-3ad61608d173
CUBE_3,start,1762430683.085,,fa661c4c-e3e7-4672-b67e-14e9f3e37bc0
CUBE_2,start,1762430749.488,,cdec21b6-c092-4169-a6a7-f52701cccc46
