target_id,t_host,cmd_id,speed_mps,accel_up,accel_down
CUBE_2,1762433882.696,ccdc3522-c992-448b-bf79-aeb7436d815e,4.190,2.733,2.562
CUBE_2,1762433885.427,a021ea93-4e2b-4d36-b8cb-38e260474097,3.004,2.013,2.035
CUBE_2,1762433889.026,c80fa686-4113-4f37-8c51-3c7227a28698,4.066,2.626,3.860
CUBE_2,1762433891.901,aaab9f0f-9c05-47c4-bc89-33b107910c5c,2.415,2.204,2.172
CUBE_3,1762433894.856,0fc85de4-49da-4aab-ae59-54fcb5dd8348,0.778,2.415,2.146
CUBE_2,1762433896.534,3a2d4257-8cd7-4bfa-984c-2ec7e0d40457,4.312,2.246,3.313
CUBE_2,1762433899.935,26d92cd9-5970-4c27-a434-83a9aab7c7b5,0.436,1.569,2.470
CUBE_3,1762433902.959,8843daed-6796-4245-8b28-fdb15fa2b18e,3.434,1.498,3.166
CUBE_2,1762433906.803,46ac40a8-edb2-4737-ae7b-8f377caf00bd,3.728,1.883,2.713
CUBE_3,1762433909.509,0bd0e142-925e-4ced-b82b-2bc818832af3,4.097,1.332,3.834
CUBE_3,1762433913.190,5a3be895-c691-4860-b41c-b383ff85e7dd,0.689,2.021,3.647
CUBE_3,1762433916.348,235e83ab-3357-41bb-b458-a775e05e2568,0.366,1.269,2.501
CUBE_3,1762433918.708,4e9176f4-e308-442c-ba2a-e04cb95f30a8,1.491,2.795,2.050
CUBE_2,1762433920.487,3d54c708-d59a-4d20-97cc-2b5d46bd9e78,0.249,1.842,2.995
CUBE_3,1762433923.578,1a9d34cf-89f5-4d09-aa20-48593660bdf6,1.755,2.693,3.375
CUBE_2,1762433926.981,afac41d2-b6a1-45cb-b8f3-d4d23ff72780,1.816,2.787,3.666
CUBE_3,1762433930.366,da1c43f3-2386-4ea2-b275-19427a275e98,2.643,2.848,3.215
CUBE_2,1762433934.002,b2e8210a-9b7a-475f-987e-9d764b96046f,1.401,1.270,3.594
CUBE_3,1762433937.178,a7c6dfb4-8aaa-4549-b041-d2f74dbbd594,1.672,1.858,2.356
CUBE_3,1762433940.313,ea3e92fa-f15f-451a-b311-e761aadefbb9,3.405,2.734,2.342
CUBE_2,1762433941.983,6e07809b-cdea-4a63-babd-db90effecd98,2.998,1.611,2.785
CUBE_2,1762433945.340,fdce870b-0fcc-4473-97d6-72d13b4ea32e,3.808,2.154,2.777
CUBE_2,1762433947.096,614f78d7-a795-410a-ae3f-9aac127437bd,3.636,1.649,2.580
CUBE_1,1762433951.067,5761ee6c-2d5a-4353-b548-4ad2b584f2f1,0.949,2.064,2.195
CUBE_1,1762433954.602,ef9fc2b9-6ce2-4726-b1fe-8ccf61b318db,1.099,1.537,2.510
CUBE_1,1762433956.724,1c2d7a39-4c01-4b54-a1f3-3d2340486bab,1.073,1.075,2.542
CUBE_1,1762433960.287,a34afca1-86bc-4951-996d-c71f8161f17c,1.403,1.416,2.848
CUBE_1,1762433963.716,32946309-5400-497a-813d-67ba15e4e3b8,1.926,2.046,3.870
CUBE_1,1762433966.134,73527e67-a5ac-4369-9756-498e8a4ffed6,3.230,2.387,3.569
CUBE_3,1762433968.108,d37d8d37-f8f3-4a9d-a8a1-5015f7bfb4f3,1.227,2.136,2.963
CUBE_3,1762433970.098,7c0f5978-b602-4509-ab2b-47add0177294,3.309,1.658,2.180
CUBE_1,1762433972.402,93aca0c6-9625-48e2-9246-2f337fd0d6b6,3.534,1.470,2.341
CUBE_1,1762433974.355,5c5b631e-73c1-4ec5-a2a3-d31df4a88c15,3.291,1.307,3.925
CUBE_3,1762433976.858,86350442-438c-40cb-8302-d9df0dae472f,2.959,1.426,3.285
CUBE_3,1762433979.827,48b63946-1a3c-4754-9edd-f585b7ad15c7,1.457,1.836,3.113
CUBE_3,1762433981.880,9bca4b79-7c48-4536-8627-5530099aaa24,2.242,2.580,2.824
CUBE_1,1762433984.150,053fb565-949f-45fc-a683-31a27fee2e91,3.491,2.595,2.022
CUBE_3,1762433985.919,a3932a5a-cf03-44f9-b100-0fb025123b1f,2.807,1.738,2.903
CUBE_3,1762433989.868,e41e3981-b2e7-4d80-9316-53cfd02483fd,3.600,2.538,2.413
CUBE_3,1762433992.612,8aaba2b1-43bc-4ae1-8dba-893041db0408,2.599,1.338,3.242
CUBE_3,1762433995.233,2715a691-579c-4673-aa2c-d7e461bcf64a,2.607,2.193,2.143
CUBE_3,1762433997.318,63d9530b-e796-4f08-9ff4-494951f36408,3.129,2.187,2.179
CUBE_1,1762433998.993,314440e7-de2f-411b-ac23-508248a463e0,1.026,2.070,3.668
CUBE_2,1762434001.372,29965d98-594a-4dc4-89db-cfa6294c8971,2.368,2.700,2.195
CUBE_1,1762434003.085,e94467b7-a408-4f5e-ad06-caff3abd1dbb,3.178,1.231,3.567
CUBE_2,1762434005.791,66fc74c7-9e56-49ab-bcf7-3047fb61eaa4,2.552,1.677,2.951
CUBE_2,1762434008.598,45478ee1-7d99-490d-9a3d-67101b7186e5,1.145,1.660,2.411
CUBE_2,1762434012.274,9d161e32-469f-40cd-b965-ea2ead96f605,4.072,1.064,2.104
CUBE_2,1762434014.094,ea4950e6-30ba-4b4d-8779-41895a8e7db4,3.316,1.762,2.025
CUBE_2,1762434016.616,4dba7707-4bf9-49cf-9eec-a7456f0a339b,3.086,1.517,2.488
CUBE_2,1762434018.416,24eab83f-d65d-467b-906f-c14b748098a4,3.817,1.244,2.762
CUBE_2,1762434022.061,52e64cde-5afa-46a6-8a43-ba5135779cb9,3.325,1.964,2.367
CUBE_2,1762434024.155,ebb229ea-480a-439e-8c36-25b779788091,0.880,1.863,3.991
CUBE_2,1762434028.104,25dde716-9c43-41e0-bf49-4c5f8ebc291d,4.183,1.948,2.217
CUBE_3,1762434031.465,ed4f6bcc-2d05-41d8-929f-93981b761fd9,0.478,2.225,2.079
CUBE_3,1762434034.067,2dcda4f2-001c-4223-a300-5d94d535a790,1.046,1.527,3.599
CUBE_3,1762434036.254,073cd33c-be65-4869-8095-86976bb3aa57,1.568,1.609,3.265
CUBE_3,1762434037.846,d1aa9c2a-0d9a-4b9b-b85c-c61ab9e7de30,1.541,1.397,2.846
CUBE_3,1762434040.153,93712cd6-d334-4b74-8c16-3302d121144e,1.371,2.780,3.385
CUBE_2,1762434042.203,598a8f28-39ff-44e8-8379-bda2d4eb51ae,2.085,2.343,3.902
CUBE_2,1762434044.569,737dc57d-dc67-4774-8e55-aa9a9c93f5b5,0.388,1.316,3.938
CUBE_2,1762434047.966,d11d77c4-19e2-48c1-8715-c198c604741a,3.258,1.978,3.781
CUBE_3,1762434050.453,bcc33436-8c38-4ca1-9287-a657a1615c83,0.673,1.974,2.611
CUBE_2,1762434052.045,1a05cbfd-554b-4078-b77d-c7bdd41b19ea,2.930,2.301,3.374
CUBE_2,1762434054.460,4ebc12b4-13df-4b92-bd2e-1fc8ce82fc1c,1.394,1.841,2.940
CUBE_2,1762434057.429,4304b1c3-ee72-428d-b07e-44eeba8251a8,3.932,1.246,3.555
CUBE_3,1762434060.586,b9cd4872-f468-40f2-b59e-dac1faab5c00,4.013,1.100,2.242
CUBE_2,1762434062.820,8151fdc9-2571-46c8-90f0-b3ae3d3dcbfa,1.283,2.351,2.587
CUBE_2,1762434066.535,2316b155-2894-44a1-b8fc-3005d234aa43,3.743,1.917,3.442
CUBE_2,1762434068.732,8977bfff-2f2d-4bc8-9b6f-0a6afe065848,3.488,2.099,2.894
CUBE_2,1762434072.629,dca7084f-8054-4331-88a7-a642f58811a7,2.703,2.787,2.929
